scenario,a_A,volume_A3_atom,energy_eV_atom
baseline,3.8,13.717999999999996,-3.512944230169378
baseline,3.9,14.829750000000002,-3.6316231686551212
baseline,4.0,16.000000000000007,-3.6833527539629465
baseline,4.1,17.230249999999995,-3.68282158920211
baseline,4.2,18.522,-3.642237143180813
baseline,4.3,19.876749999999998,-3.5722211867105824
