molecule,electronic_eV,ZPE_eV,thermal_enthalpy_eV,H_eV,S_eV_K,G_eV,ASE_G_eV,G_error_eV,gradient_max_Hartree_A
H2,-30.408884272047526,0.3397636433355134,0.08992402692601592,-29.979196601785997,0.0013439527287433268,-30.37989610786082,-30.379895972188034,-1.3567278500659086e-07,1.3570143431772824e-06
CO,-3026.5986671127894,0.15263005369379812,0.08992613899781077,-3026.3561109200978,0.0020507229686657804,-3026.9675339732053,-3026.9675337660083,-2.0719699023175053e-07,5.939065760538412e-07
CO2,-5035.9674575597655,0.31629647377950565,0.09988327511554129,-5035.5512778108705,0.0022334604409418282,-5036.2171840413375,-5036.217183815646,-2.2569111024495214e-07,4.4009507563552385e-07
H2O,-2039.926092621223,0.6633309290388016,0.10277794431534026,-2039.1599837478689,0.0019647794122151572,-2039.7457827296207,-2039.7457825312304,-1.9839035303448327e-07,1.188414395571618e-05
