column_0,column_1,column_2
1.0,0.0,0.0
0.9510231998883231,0.048976757878034516,4.2233642183176736e-08
0.9432907890861627,0.056709159861048915,5.105278821798125e-08
0.9343804375340066,0.06561950048912342,6.197686987661879e-08
0.9241274694857019,0.07587245493888592,7.557541201848363e-08
0.912349305448248,0.08765060196610479,9.258564707510846e-08
0.8988453592556592,0.10115452678078246,1.1396355818643502e-07
0.8833977388815427,0.1166021201682891,1.4095016807806915e-07
0.8657730832081751,0.13422674163456616,1.7515725859632278e-07
0.8457259486201617,0.15427383270221803,2.1867762001122403e-07
0.8230042448098068,0.17699548096428075,2.7422591225570996e-07
0.7973572966620821,0.20264235802074057,3.4531717717833855e-07
0.7685471618340632,0.23145240167509956,4.364908370107317e-07
0.7363638320963003,0.2636356143152924,5.535884070768526e-07
0.7006448496016068,0.2993544463055913,7.040928016400337e-07
0.6612996207662364,0.3386994816982084,8.975355550583661e-07
0.6183382377069118,0.3816606163181754,1.1459749127359085e-06
0.5719038491647214,0.428094686293298,1.4645419804552693e-06
0.5223064925838427,0.47769163537275156,1.8720434056527473e-06
0.47005479025170177,0.5299428181510167,2.3915972813958823e-06
0.41588011581594586,0.5841168329191508,3.051264903070692e-06
0.36074601390829203,0.6392501014648043,3.8846269035389915e-06
0.30583432594183707,0.694160742815577,4.931242585882458e-06
0.2524994603845498,0.7474943026824994,6.236932950716943e-06
0.20218459546340078,0.7978075506866943,7.853849904970387e-06
0.15629933083027228,0.8436908288246501,9.840345077645587e-06
0.11606781342705412,0.8839199258379419,1.2260735003987308e-05
0.08236861953571484,0.9176161952977964,1.5185166488785826e-05
0.05559941389572138,0.9443818962151519,1.868988912673682e-05
0.03560505814936069,0.9643720835564956,2.2858294143716522e-05
0.02170108185035331,0.9782711351231886,2.7783026458179206e-05
0.012801834089660739,0.9871645966191146,3.356929122468661e-05
0.0076282941181707265,0.9923313666899596,4.033919186977148e-05
0.00493815430918333,0.9950136090207441,4.823667007288491e-05
0.0037090036640623487,0.9962335638089538,5.7432526984005724e-05
0.0032255273814072783,0.9967063434336146,6.81291849780339e-05
0.0030656338342011473,0.9968538009326922,8.056523310654661e-05
0.003022352935473695,0.996882626897244,9.502016728237629e-05
0.00301303375620294,0.996875146368863,0.0001118198749341791
0.003011456909879436,0.9968571997949707,0.0001313432951498222
0.0030112068258372165,0.9968347627019649,0.00015403047219772327
0.0030111127744747806,0.9968084951341006,0.0001803920914245348
0.003011020401105354,0.9967779590125988,0.0002110205862958055
0.003010914041016299,0.9967424829905173,0.0002466029684663215
0.0030107905263352976,0.9967012738799426,0.0002879355937219859
0.0030106470720799618,0.9966534118105127,0.00033594111740723414
0.0030104804842714817,0.9965978315949399,0.0003916879207885442
0.0030102870689977432,0.9965333006196949,0.00045641231130718056
