x_model,own_WHAM_eV,PyMBAR_FES_eV,analytic_eV,samples
-1.7850000000000001,nan,nan,0.7363131467225936,0
-1.755,nan,nan,0.6676874845836313,0
-1.725,nan,nan,0.6035058920866513,0
-1.6949999999999998,nan,nan,0.5435992392790965,0
-1.665,nan,nan,0.48780132026671896,0
-1.635,0.44625504085390355,0.44579070844305685,0.4359488540842875,2
-1.605,0.3461795467715244,0.34624949928562204,0.38788148564412195,16
-1.5750000000000002,0.3378394052745376,0.33733894985196344,0.3434417867685089,21
-1.545,0.2803593400252886,0.2806264597914907,0.30247525731240454,69
-1.5150000000000001,0.2701505008189024,0.2703488596748482,0.2648303263831122,88
-1.4849999999999999,0.23056680618562259,0.23059659010010203,0.23035835366386595,192
-1.455,0.19598804375433437,0.1959512872482299,0.19891363084849406,369
-1.425,0.16780559805284334,0.16761425924441112,0.1703533831944426,609
-1.395,0.15421579234871874,0.1540616450584681,0.14453777120153222,738
-1.365,0.12750774333844445,0.12720824793504149,0.12132989242373335,1125
-1.335,0.11131196685432176,0.11106450227087329,0.10059578342106665,1370
-1.3050000000000002,0.0898785239496977,0.08962691917113502,0.0822044218583386,1814
-1.275,0.07136550847691464,0.07140641585924905,0.06602772875682172,2240
-1.245,0.05451766388977247,0.05442934577743173,0.051940570904106836,2656
-1.2149999999999999,0.04471019028813697,0.044639526233520264,0.03982076342613619,2740
-1.185,0.031438758347494294,0.031499081897492814,0.029549072523823952,3030
-1.155,0.02527763606724584,0.025242504166384027,0.021009218374576394,2943
-1.125,0.016561839570437498,0.016549136694148987,0.014087878196394371,3041
-1.095,0.011564679697652874,0.011563741527564892,0.008674689468949826,2972
-1.065,0.006073504414670056,0.0060708174089972675,0.004662253302005263,2988
-1.035,0.004019161284205958,0.0040013106745730685,0.0019461379366720148,2868
-1.005,0.009789275018211308,0.009774184339857906,0.0004248823591844128,2415
-0.975,0.009396972574760132,0.00938257414887186,0.0,2337
-0.945,0.0,0.0,0.0005759824830290916,2743
-0.915,0.002937443425856223,0.002928433919754865,0.002060303380579512,2581
-0.885,0.0035130937332831513,0.003496042797260886,0.004363421919128016,2583
-0.855,0.011687597730641652,0.011669578401642535,0.0073987865692985225,2264
-0.825,0.017571345579907305,0.01753779695068217,0.011082838440496293,2101
-0.7949999999999999,0.021068915891563705,0.021002104773763366,0.015335014386652732,2065
-0.765,0.022605453932989072,0.022528825527368394,0.02007774971471496,2129
-0.735,0.032373315071896336,0.032348260760722745,0.025236480372230433,1888
-0.705,0.03337572781067219,0.033365043476326996,0.030739644475139057,1998
-0.6749999999999999,0.03865638013276698,0.03870240079612728,0.03651868302237937,1958
-0.6449999999999999,0.04536543788304226,0.045325693382712084,0.04250803963101092,1875
-0.6149999999999999,0.054673785283537085,0.0547121433185701,0.04864515911532684,1713
-0.5849999999999999,0.0559158819963797,0.055883745205550034,0.05487048472714465,1833
-0.5549999999999999,0.06707149145345265,0.06697650037324702,0.061127453873558946,1621
-0.525,0.07504860293284987,0.07503872759205917,0.06736249213447988,1525
-0.495,0.07861832523910567,0.07860681303093382,0.0735250054168719,1562
