x_model,y_model
-1.955531298809906060e-01,-2.656050861763988857e-01
-4.593547196272421140e-02,-2.787076182560160320e-01
-4.593547196272421140e-02,-2.787076182560160320e-01
-4.593547196272421140e-02,-2.787076182560160320e-01
1.142385316073937784e-01,-1.748232918497038546e-01
1.857331319728504071e-01,1.083311809847737339e-01
-8.841849014324115741e-02,-1.313826622712468695e-01
-9.844421257938651415e-02,1.444063253940605640e-02
-2.663832700749597659e-01,-6.562635720554231555e-02
-2.314095249639112339e-01,-2.066995331223685228e-02
-1.531349578109995613e-01,-1.694910124318679268e-01
-1.531349578109995613e-01,-1.694910124318679268e-01
-1.531349578109995613e-01,-1.694910124318679268e-01
-3.652564988522555289e-01,-8.967193566494929824e-02
-4.526191013395811091e-01,7.063790529807137397e-02
-2.481838175114032818e-01,2.079202039673010427e-01
-2.481838175114032818e-01,2.079202039673010427e-01
-2.859919249256483442e-01,9.262797626005186968e-02
-2.859919249256483442e-01,9.262797626005186968e-02
-2.859919249256483442e-01,9.262797626005186968e-02
7.388341409301096840e-02,1.646367922935655648e-02
3.911978460542904767e-01,-7.900105886344742367e-02
3.951990389501676693e-01,-6.858714902678172964e-02
3.951990389501676693e-01,-6.858714902678172964e-02
7.491787666778365606e-02,1.480584101576297995e-01
7.491787666778365606e-02,1.480584101576297995e-01
4.673194640876712769e-02,-1.622923567826798641e-01
4.673194640876712769e-02,-1.622923567826798641e-01
-4.393487457495193205e-02,3.695313555730650457e-02
2.444874813213093745e-02,8.735388511149821955e-02
-4.385927816444407101e-02,1.627755280029952734e-01
-9.492213904127382029e-02,-1.154114908478370838e-02
-9.492213904127382029e-02,-1.154114908478370838e-02
-1.535965041948389453e-02,-7.370647566735868440e-03
-6.871976822095635096e-02,-5.452382491844820489e-03
-6.871976822095635096e-02,-5.452382491844820489e-03
-6.871976822095635096e-02,-5.452382491844820489e-03
-6.871976822095635096e-02,-5.452382491844820489e-03
-5.336055624932158070e-02,-2.387631968697245810e-02
-5.336055624932158070e-02,-2.387631968697245810e-02
-2.090429049956903790e-02,-8.237908721410291957e-02
1.435315289284184448e-01,-9.022412812298366558e-02
1.435315289284184448e-01,-9.022412812298366558e-02
8.464802949115307618e-02,-1.193217909611982291e-01
1.327881304125773654e-01,-2.280722543560370630e-01
1.327881304125773654e-01,-2.280722543560370630e-01
1.573565928335534103e-01,-4.135928391985431163e-01
-4.151769754130091306e-03,-4.141088094399339448e-01
-4.556795817639375246e-03,-2.679809533268097677e-01
8.513877578917954103e-02,-2.752220551617424182e-01
1.715588451178198803e-02,-1.420910557549318887e-01
4.332342264876826166e-02,4.120785859221851033e-02
4.332342264876826166e-02,4.120785859221851033e-02
-8.479227059005614575e-02,1.135624448148024046e-01
-2.043916375045073397e-01,-1.267956369152760387e-01
-1.009651742798692159e-01,-3.802664660487262149e-02
-1.009651742798692159e-01,-3.802664660487262149e-02
-1.009651742798692159e-01,-3.802664660487262149e-02
1.826891923658621186e-01,1.855885191814327650e-01
1.826891923658621186e-01,1.855885191814327650e-01
2.770232373981523222e-01,4.188109864123878978e-04
2.868469561557330794e-01,1.951211895621422299e-03
1.153785261785228167e-01,-3.264870982916900921e-01
