x_model,y_model
-7.566128549000126213e-01,-1.589544499385875942e-01
-4.827582626827863765e-01,-1.696914052188880084e-01
-4.827582626827863765e-01,-1.696914052188880084e-01
-4.827582626827863765e-01,-1.696914052188880084e-01
-6.968516712921598577e-01,-2.934256946249148568e-01
-5.060793240284692240e-01,-3.105875586797054999e-01
-3.147959860414527578e-01,-8.903551614130517100e-02
-6.371890055000475339e-01,-7.077474013783260909e-02
-6.671920623160164654e-01,-1.478768763047383084e-01
-7.224518499152819961e-01,-1.233959663552408881e-01
-7.224518499152819961e-01,-1.233959663552408881e-01
-5.024776587035916231e-01,6.156330243110086364e-02
-5.024776587035916231e-01,6.156330243110086364e-02
-6.987501843945045366e-01,-7.630652332980514263e-02
-6.987501843945045366e-01,-7.630652332980514263e-02
-6.987501843945045366e-01,-7.630652332980514263e-02
-6.987501843945045366e-01,-7.630652332980514263e-02
-6.816235600465170297e-01,-6.921469400133084537e-02
-6.881744024791680570e-01,-3.977707426461891266e-02
-6.459721395081577944e-01,3.585911946759806623e-03
-6.459721395081577944e-01,3.585911946759806623e-03
-6.459721395081577944e-01,3.585911946759806623e-03
-6.459721395081577944e-01,3.585911946759806623e-03
-4.598077248769216752e-01,-1.468633989692603725e-01
-4.192560676398150998e-01,-2.095459092904799481e-01
-4.337558837271280887e-01,-9.057902270182098536e-02
-4.337558837271280887e-01,-9.057902270182098536e-02
-4.333364865599938498e-01,-1.259285534567545217e-01
-4.442032971039643341e-01,-4.336221715877200400e-02
-3.693310920813611675e-01,-1.275143115488717727e-01
-3.902458022752635092e-01,-5.393670020034978252e-02
-3.902458022752635092e-01,-5.393670020034978252e-02
-3.878190386714988058e-01,-2.184308591500970786e-01
-3.878190386714988058e-01,-2.184308591500970786e-01
-3.878190386714988058e-01,-2.184308591500970786e-01
-4.060914774921355885e-01,-6.435104652057219154e-02
-4.060914774921355885e-01,-6.435104652057219154e-02
-4.811517145280698737e-01,4.509202226159855775e-02
-4.747855170995075591e-01,7.273162842949197626e-02
-4.350189060754705572e-01,1.180268091724475249e-01
-4.350189060754705572e-01,1.180268091724475249e-01
-4.350189060754705572e-01,1.180268091724475249e-01
-4.350189060754705572e-01,1.180268091724475249e-01
-4.350189060754705572e-01,1.180268091724475249e-01
-3.969413024788783217e-01,-6.402018783631867327e-02
