mode,lambda_eV_A2_u,own_cm^-1,ASE_signed_cm^-1
1,-5.97925754141405e-07,-0.4032308087147154,-0.40323080549152807
2,-3.4439975426830874e-07,-0.3060282320261616,-0.3060282338836951
3,-1.998906751115141e-07,-0.23314512786133373,-0.23314512753931482
4,-2.93504282653661e-11,-0.002825122592188617,-0.002825099961235487
5,-1.0794094909302623e-11,-0.0017132596750795027,-0.0017135105046217672
6,-5.069091082568499e-12,-0.0011740730635077482,-0.0011738948189839178
7,17.314096111382355,2169.8513808820235,2169.8513893228574
8,63.01791926740546,4139.635537690205,4139.635553793599
9,70.89279259445699,4390.673255214585,4390.673272294529
