parameter,value,adsorption_eV,delta_from_baseline_eV
cutoff_eV,300,0.05332561586182161,0.0077242333353484405
kpts,"[4, 4, 1]",0.01754384667338993,-0.028057535853083237
vacuum_A,8.0,0.050762555731751924,0.005161173205278757
size,"[1, 1, 4]",-0.30181690712002673,-0.3474182896464999
size,"[2, 2, 3]",-0.08851244401812774,-0.1341138265446009
fixed_layers,0,0.048626757883112326,0.0030253753566391595
smearing_eV,0.05,0.05306972845784319,0.007468345931370024
