# x_bohr V_Hartree
-5.970074812967580691e+00 1.782089663621494680e+01
-5.940149625935161382e+00 1.764268878924881889e+01
-5.910224438902742961e+00 1.746537645910161984e+01
-5.880299251870323651e+00 1.728895964577334254e+01
-5.850374064837905230e+00 1.711343834926399765e+01
-5.820448877805485921e+00 1.693881256957357095e+01
-5.790523690773066612e+00 1.676508230670206956e+01
-5.760598503740648191e+00 1.659224756064949702e+01
-5.730673316708228882e+00 1.642030833141584623e+01
-5.700748129675810461e+00 1.624926461900112429e+01
-5.670822942643391151e+00 1.607911642340532410e+01
-5.640897755610971842e+00 1.590986374462844921e+01
-5.610972568578553421e+00 1.574150658267050495e+01
-5.581047381546134112e+00 1.557404493753148067e+01
-5.551122194513715691e+00 1.540747880921138524e+01
-5.521197007481296382e+00 1.524180819771021156e+01
-5.491271820448877072e+00 1.507703310302796140e+01
-5.461346633416458651e+00 1.491315352516464365e+01
-5.431421446384039342e+00 1.475016946412024410e+01
-5.401496259351620921e+00 1.458808091989477695e+01
-5.371571072319201612e+00 1.442688789248822800e+01
-5.341645885286782303e+00 1.426659038190060613e+01
-5.311720698254363882e+00 1.410718838813191311e+01
-5.281795511221944572e+00 1.394868191118214185e+01
-5.251870324189526151e+00 1.379107095105129943e+01
-5.221945137157106842e+00 1.363435550773937699e+01
-5.192019950124688421e+00 1.347853558124638518e+01
-5.162094763092269112e+00 1.332361117157231511e+01
-5.132169576059849803e+00 1.316958227871716858e+01
-5.102244389027431382e+00 1.301644890268095267e+01
-5.072319201995012072e+00 1.286421104346365851e+01
-5.042394014962592763e+00 1.271286870106528788e+01
-5.012468827930174342e+00 1.256242187548584788e+01
-4.982543640897755033e+00 1.241287056672532785e+01
-4.952618453865336612e+00 1.226421477478373845e+01
-4.922693266832917303e+00 1.211645449966106902e+01
-4.892768079800498882e+00 1.196958974135733023e+01
-4.862842892768079572e+00 1.182362049987251140e+01
-4.832917705735660263e+00 1.167854677520661966e+01
-4.802992518703241842e+00 1.153436856735965499e+01
-4.773067331670822533e+00 1.139108587633161207e+01
-4.743142144638403224e+00 1.124869870212249623e+01
-4.713216957605984803e+00 1.110720704473230747e+01
-4.683291770573565493e+00 1.096661090416104045e+01
-4.653366583541147072e+00 1.082691028040870407e+01
-4.623441396508727763e+00 1.068810517347528766e+01
-4.593516209476309342e+00 1.055019558336080010e+01
-4.563591022443890033e+00 1.041318151006523429e+01
-4.533665835411470724e+00 1.027706295358859379e+01
-4.503740648379052303e+00 1.014183991393088391e+01
-4.473815461346632993e+00 1.000751239109209401e+01
-4.443890274314213684e+00 9.874080385072229404e+00
-4.413965087281795263e+00 9.741543895871293657e+00
-4.384039900249375954e+00 9.609902923489279658e+00
-4.354114713216957533e+00 9.479157467926194514e+00
-4.324189526184538224e+00 9.349307529182031118e+00
-4.294264339152119803e+00 9.220353107256796577e+00
-4.264339152119700493e+00 9.092294202150483784e+00
-4.234413965087281184e+00 8.965130813863094517e+00
-4.204488778054862763e+00 8.838862942394635880e+00
-4.174563591022443454e+00 8.713490587745098992e+00
-4.144638403990024145e+00 8.589013749914487406e+00
-4.114713216957605724e+00 8.465432428902804673e+00
-4.084788029925186414e+00 8.342746624710043690e+00
-4.054862842892767993e+00 8.220956337336209785e+00
-4.024937655860348684e+00 8.100061566781299405e+00
-3.995012468827929819e+00 7.980062313045315214e+00
-3.965087281795510954e+00 7.860958576128257214e+00
-3.935162094763092089e+00 7.742750356030123626e+00
-3.905236907730673224e+00 7.625437652750915341e+00
-3.875311720698253914e+00 7.509020466290630580e+00
-3.845386533665835049e+00 7.393498796649272897e+00
-3.815461346633416184e+00 7.278872643826840516e+00
-3.785536159600997319e+00 7.165142007823333437e+00
-3.755610972568578454e+00 7.052306888638751659e+00
-3.725685785536159145e+00 6.940367286273093406e+00
-3.695760598503740280e+00 6.829323200726362231e+00
-3.665835411471321414e+00 6.719174631998556357e+00
-3.635910224438902549e+00 6.609921580089675786e+00
-3.605985037406483684e+00 6.501564044999719627e+00
-3.576059850374064375e+00 6.394102026728687882e+00
-3.546134663341645510e+00 6.287535525276582327e+00
-3.516209476309226645e+00 6.181864540643402961e+00
-3.486284289276807780e+00 6.077089072829148009e+00
-3.456359102244388914e+00 5.973209121833819246e+00
-3.426433915211969605e+00 5.870224687657413121e+00
-3.396508728179550740e+00 5.768135770299934961e+00
-3.366583541147131875e+00 5.666942369761381215e+00
-3.336658354114713010e+00 5.566644486041752771e+00
-3.306733167082294145e+00 5.467242119141049628e+00
-3.276807980049874836e+00 5.368735269059270898e+00
-3.246882793017455970e+00 5.271123935796418358e+00
-3.216957605985037105e+00 5.174408119352490232e+00
-3.187032418952618240e+00 5.078587819727488295e+00
-3.157107231920199375e+00 4.983663036921411660e+00
-3.127182044887780066e+00 4.889633770934258550e+00
-3.097256857855361201e+00 4.796500021766032518e+00
-3.067331670822942336e+00 4.704261789416731787e+00
-3.037406483790523470e+00 4.612919073886355470e+00
-3.007481296758104605e+00 4.522471875174905342e+00
-2.977556109725685296e+00 4.432920193282378740e+00
-2.947630922693266431e+00 4.344264028208778328e+00
-2.917705735660847566e+00 4.256503379954104105e+00
-2.887780548628428701e+00 4.169638248518354295e+00
-2.857855361596009836e+00 4.083668633901529788e+00
-2.827930174563590526e+00 3.998594536103629693e+00
-2.798004987531171661e+00 3.914415955124656232e+00
-2.768079800498752796e+00 3.831132890964607629e+00
-2.738154613466333931e+00 3.748745343623484327e+00
-2.708229426433915066e+00 3.667253313101286327e+00
-2.678304239401496201e+00 3.586656799398013629e+00
-2.648379052369076891e+00 3.506955802513664899e+00
-2.618453865336658026e+00 3.428150322448242804e+00
-2.588528678304239161e+00 3.350240359201745566e+00
-2.558603491271820296e+00 3.273225912774174073e+00
-2.528678304239401431e+00 3.197106983165527438e+00
-2.498753117206982122e+00 3.121883570375805217e+00
-2.468827930174563257e+00 3.047555674405009185e+00
-2.438902743142144391e+00 2.974123295253138455e+00
-2.408977556109725526e+00 2.901586432920193026e+00
-2.379052369077306661e+00 2.829945087406172455e+00
-2.349127182044887352e+00 2.759199258711076741e+00
-2.319201995012468487e+00 2.689348946834906773e+00
-2.289276807980049622e+00 2.620394151777662550e+00
-2.259351620947630757e+00 2.552334873539343185e+00
-2.229426433915211891e+00 2.485171112119949122e+00
-2.199501246882792582e+00 2.418902867519479472e+00
-2.169576059850373717e+00 2.353530139737936011e+00
-2.139650872817954852e+00 2.289052928775317852e+00
-2.109725685785535987e+00 2.225471234631624995e+00
