time_internal,E_eV,x1,y1,z1,x2,y2,z2
0.0,-0.890065287583076,0.0,0.0,0.0,1.2,0.0,0.0
0.002,-0.8900652879556091,4.423386684446157e-06,6e-05,0.0,1.1999955766133155,-6e-05,0.0
0.004,-0.8900652890741538,1.769320964290413e-05,0.00011999911534985068,0.0,1.199982306790357,-0.00011999911534985068,0.0
0.006,-0.8900652909415477,3.9808457041330165e-05,0.00017999646157568607,0.0,1.1999601915429585,-0.00017999646157568607,0.0
0.008,-0.890065293562523,7.076744065772024e-05,0.00023999115455677493,0.0,1.199929232559342,-0.00023999115455677493,0.0
0.01,-0.8900652969437115,0.00011056779313214755,0.0002999823107035091,0.0,1.1998894322068676,-0.0002999823107035091,0.0
0.012,-0.8900653010936501,0.0001592064641126832,0.00035996904713709975,0.0,1.199840793535887,-0.00035996904713709975,0.0
0.014,-0.8900653060227889,0.00021667971529306827,0.0004199504818715551,0.0,1.1997833202847066,-0.0004199504818715551,0.0
0.016,-0.8900653117434999,0.0002829831143368245,0.00047992573399851737,0.0,1.1997170168856628,-0.00047992573399851737,0.0
0.018000000000000002,-0.8900653182700912,0.0003581115276813101,0.0005398939238755408,0.0,1.1996418884723183,-0.0005398939238755408,0.0
0.02,-0.8900653256188151,0.00044205911221404656,0.000599854173318399,0.0,1.1995579408877857,-0.000599854173318399,0.0
0.022,-0.8900653338078873,0.0005348193058124616,0.0006598056057980158,0.0,1.1994651806941872,-0.0006598056057980158,0.0
0.024,-0.8900653428574987,0.0006363848167370128,0.0007197473466426223,0.0,1.1993636151832625,-0.0007197473466426223,0.0
0.026000000000000002,-0.8900653527898352,0.0007467476118664769,0.0007796785232457506,0.0,1.199253252388133,-0.0007796785232457506,0.0
0.028,-0.8900653636290939,0.0008658989037630112,0.0008395982652806832,0.0,1.1991341010962364,-0.0008395982652806832,0.0
0.03,-0.890065375401505,0.0009938291365534147,0.0008995057049219913,0.0,1.199006170863446,-0.0008995057049219913,0.0
0.032,-0.8900653881353514,0.0011305279706118436,0.0009593999770748019,0.0,1.1988694720293875,-0.0009593999770748019,0.0
0.034,-0.8900654018609904,0.0012759842660280576,0.001019280219612449,0.0,1.1987240157339714,-0.001019280219612449,0.0
0.036000000000000004,-0.8900654166108739,0.00143018606484411,0.0010791455736231755,0.0,1.1985698139351553,-0.0010791455736231755,0.0
0.038,-0.8900654324195773,0.0015931205720412242,0.0011389951836665725,0.0,1.198406879427958,-0.0011389951836665725,0.0
0.04,-0.8900654493238147,0.0017647741352574396,0.0011988281980404455,0.0,1.198235225864742,-0.0011988281980404455,0.0
0.042,-0.8900654673624712,0.0019451322232154572,0.001258643769058829,0.0,1.198054867776784,-0.001258643769058829,0.0
0.044,-0.8900654865766195,0.00213417940283897,0.0013184410533418765,0.0,1.1978658205971604,-0.0013184410533418765,0.0
0.046,-0.8900655070095483,0.0023318993150346244,0.001378219212118374,0.0,1.1976681006849648,-0.001378219212118374,0.0
