time_internal,E_eV,x1,y1,z1,x2,y2,z2
0.0,-0.890065287583076,0.0,0.0,0.0,1.2,0.0,0.0
0.002,-0.8900652879556091,4.423386684446157e-06,6e-05,0.0,1.1999955766133155,-6e-05,0.0
0.004,-0.8900652890741538,1.7693209642904133e-05,0.00011999911534985068,0.0,1.199982306790357,-0.00011999911534985068,0.0
0.006,-0.8900652909415477,3.980845704133017e-05,0.00017999646157568607,0.0,1.1999601915429585,-0.00017999646157568607,0.0
0.008,-0.890065293562523,7.076744065772026e-05,0.00023999115455677493,0.0,1.199929232559342,-0.00023999115455677493,0.0
0.01,-0.8900652969437115,0.00011056779313214755,0.0002999823107035091,0.0,1.1998894322068676,-0.0002999823107035091,0.0
0.012,-0.8900653010936501,0.0001592064641126832,0.00035996904713709975,0.0,1.199840793535887,-0.00035996904713709975,0.0
0.014,-0.8900653060227889,0.00021667971529306827,0.0004199504818715551,0.0,1.1997833202847066,-0.0004199504818715551,0.0
0.016,-0.8900653117434999,0.0002829831143368245,0.00047992573399851737,0.0,1.1997170168856628,-0.00047992573399851737,0.0
0.018000000000000002,-0.8900653182700912,0.0003581115276813101,0.0005398939238755408,0.0,1.1996418884723183,-0.0005398939238755408,0.0
0.02,-0.8900653256188151,0.00044205911221404656,0.000599854173318399,0.0,1.1995579408877857,-0.000599854173318399,0.0
0.022,-0.8900653338078873,0.0005348193058124616,0.0006598056057980158,0.0,1.1994651806941872,-0.0006598056057980158,0.0
0.024,-0.8900653428574987,0.0006363848167370128,0.0007197473466426223,0.0,1.1993636151832625,-0.0007197473466426223,0.0
0.026000000000000002,-0.8900653527898352,0.0007467476118664769,0.0007796785232457506,0.0,1.199253252388133,-0.0007796785232457506,0.0
0.028,-0.8900653636290939,0.0008658989037630112,0.0008395982652806832,0.0,1.1991341010962364,-0.0008395982652806832,0.0
0.03,-0.890065375401505,0.0009938291365534147,0.0008995057049219913,0.0,1.199006170863446,-0.0008995057049219913,0.0
0.032,-0.8900653881353514,0.0011305279706118436,0.0009593999770748019,0.0,1.1988694720293875,-0.0009593999770748019,0.0
0.034,-0.8900654018609904,0.0012759842660280574,0.001019280219612449,0.0,1.1987240157339714,-0.001019280219612449,0.0
0.036000000000000004,-0.890065416610874,0.0014301860648441099,0.0010791455736231755,0.0,1.1985698139351553,-0.0010791455736231755,0.0
0.038,-0.8900654324195773,0.001593120572041224,0.0011389951836665725,0.0,1.198406879427958,-0.0011389951836665725,0.0
0.04,-0.8900654493238147,0.0017647741352574394,0.0011988281980404455,0.0,1.198235225864742,-0.0011988281980404455,0.0
0.042,-0.8900654673624712,0.001945132223215457,0.001258643769058829,0.0,1.198054867776784,-0.001258643769058829,0.0
0.044,-0.8900654865766195,0.0021341794028389696,0.0013184410533418765,0.0,1.1978658205971604,-0.0013184410533418765,0.0
0.046,-0.8900655070095483,0.002331899315034624,0.001378219212118374,0.0,1.1976681006849648,-0.001378219212118374,0.0
0.048,-0.8900655287067828,0.0025382746491156363,0.001437977411541649,0.0,1.1974617253508837,-0.001437977411541649,0.0
0.05,-0.8900655517161075,0.002753287115841977,0.0014977148230196592,0.0,1.1972467128841573,-0.0014977148230196592,0.0
0.052000000000000005,-0.8900655760875886,0.00297691741905094,0.001557430623560072,0.0,1.1970230825809482,-0.001557430623560072,0.0
0.054,-0.8900656018735917,0.0032091452258508394,0.0016171239961311659,0.0,1.1967908547741484,-0.0016171239961311659,0.0
0.056,-0.8900656291288038,0.0034499491353495197,0.0016767941300394075,0.0,1.1965500508646496,-0.0016767941300394075,0.0
0.058,-0.8900656579102455,0.003699306645888339,0.00173644022132458,0.0,1.1963006933541107,-0.00173644022132458,0.0
0.06,-0.8900656882772854,0.003957194120751286,0.0017960614731733677,0.0,1.1960428058792478,-0.0017960614731733677,0.0
0.062,-0.8900657202916523,0.004223586752317914,0.0018556570963523214,0.0,1.1957764132476811,-0.0018556570963523214,0.0
0.064,-0.8900657540174399,0.004498458524627862,0.0019152263096611603,0.0,1.1955015414753711,-0.0019152263096611603,0.0
0.066,-0.8900657895211095,0.004781782174323835,0.001974768340407389,0.0,1.1952182178256752,-0.001974768340407389,0.0
0.068,-0.8900658268714897,0.005073529149939068,0.002034282424903237,0.0,1.19492647085006,-0.002034282424903237,0.0
0.07,-0.8900658661397679,0.005373669569494539,0.0020937678089859605,0.0,1.1946263304305045,-0.0020937678089859605,0.0
0.07200000000000001,-0.8900659073994757,0.005682172176370441,0.002153223748562566,0.0,1.1943178278236286,-0.002153223748562566,0.0
0.074,-0.8900659507264699,0.005999004293415785,0.0022126495101800546,0.0,1.1940009957065834,-0.0022126495101800546,0.0
0.076,-0.8900659961989054,0.0063241317752594185,0.002272044371622307,0.0,1.1936758682247397,-0.002272044371622307,0.0
0.078,-0.8900660438971957,0.0066575189587852425,0.002331407622534769,0.0,1.1933424810412139,-0.002331407622534769,0.0
0.08,-0.8900660939039693,0.006999128611734012,0.002390738565078117,0.0,1.1930008713882652,-0.002390738565078117,0.0
0.082,-0.8900661463040133,0.007348921879393788,0.00245003651461212,0.0,1.1926510781206054,-0.00245003651461212,0.0
0.084,-0.8900662011842034,0.00770685822934095,0.0025093008004109466,0.0,1.1922931417706584,-0.0025093008004109466,0.0
0.08600000000000001,-0.890066258633427,0.00807289539419357,0.002568530766411193,0.0,1.1919271046058058,-0.002568530766411193,0.0
0.088,-0.8900663187424854,0.008446989312339073,0.002627725771993933,0.0,1.1915530106876602,-0.002627725771993933,0.0
