x_bohr,V_Hartree,psi_0,psi_1,psi_2,psi_3
-5.970074812967581,17.820896636214947,4.102157074141198e-09,-3.372567544395183e-08,1.9299668225629838e-07,8.869097371486363e-07
-5.940149625935161,17.64268878924882,8.331572736225393e-09,-6.843720382998853e-08,3.9128936580438217e-07,1.7965691178339363e-06
-5.910224438902743,17.46537645910162,1.2816794195620901e-08,-1.0512741255564817e-07,6.001944886685568e-07,2.7517379022435418e-06
-5.880299251870324,17.288959645773343,1.7691461765429953e-08,-1.4482371619087679e-07,8.251873112296196e-07,3.7757378668820083e-06
-5.850374064837905,17.113438349263998,2.309810524981358e-08,-1.886154619577451e-07,1.072037840422241e-06,4.892990038236488e-06
-5.820448877805486,16.93881256957357,2.9192039255202964e-08,-2.3768173423312354e-07,1.3469476857898566e-06,6.129549841668342e-06
-5.790523690773067,16.76508230670207,3.6145460355204495e-08,-2.933203065438457e-07,1.6566910135305652e-06,7.513651701943079e-06
-5.760598503740648,16.592247560649497,4.4151847860832475e-08,-3.5697841047759546e-07,2.0087626209598324e-06,9.076273883731982e-06
-5.730673316708229,16.420308331415846,5.3430771396006174e-08,-4.302859884316629e-07,2.411536082124903e-06,1.0851733862869773e-05
-5.7007481296758105,16.249264619001124,6.423321235271534e-08,-5.150921095013338e-07,2.874434906582342e-06,1.2878324234465283e-05
-5.670822942643391,16.079116423405324,7.68475124708952e-08,-6.135052538441811e-07,3.4081197004674583e-06,1.5198999061324713e-05
-5.640897755610972,15.90986374462845,9.160607118426536e-08,-7.279382096811572e-07,4.02469441636834e-06,1.786212062022363e-05
-5.610972568578553,15.741506582670505,1.08892923975358e-07,-8.611583781437343e-07,4.737934921842281e-06,2.0922276693360095e-05
-5.581047381546134,15.57404493753148,1.2915234681483482e-07,-1.0163443441291054e-06,5.56354330235095e-06,2.4441178860244068e-05
-5.551122194513716,15.407478809211385,1.5289864688472325e-07,-1.1971496460686142e-06,6.519431540404103e-06,2.8488652656350573e-05
-5.521197007481296,15.241808197710212,1.807273172995438e-07,-1.4077747641046774e-06,7.626038476865516e-06,3.314373096606991e-05
-5.491271820448877,15.077033103027961,2.1332775357168553e-07,-1.653048444806583e-06,8.906684261228364e-06,3.849586259721085e-05
-5.461346633416459,14.913153525164644,2.514977522745274e-07,-1.9385195915505276e-06,1.0387966834085601e-05,4.4646248631861856e-05
-5.431421446384039,14.750169464120244,2.961600379217942e-07,-2.270561073454196e-06,1.2100205356099783e-05,5.170931985361094e-05
-5.401496259351621,14.588080919894777,3.4838109271228424e-07,-2.656486942777236e-06,1.4077935902732557e-05,5.9814369303936695e-05
-5.371571072319202,14.426887892488228,4.093925957164909e-07,-3.1046847015204806e-06,1.636046518206806e-05,6.910735481081395e-05
-5.341645885286782,14.266590381900606,4.806158135589084e-07,-3.6247644231649286e-06,1.8992488503438646e-05,7.975288714956959e-05
-5.311720698254364,14.107188388131913,5.636893239509722e-07,-4.227726715697499e-06,2.202477872627173e-05,9.193642032841209e-05
-5.281795511221945,13.948681911182142,6.605004968484127e-07,-4.926151707894793e-06,2.5514953450436157e-05,0.0001058666613265191
-5.251870324189526,13.7910709510513,7.73221205855566e-07,-5.73441145289077e-06,2.9528328269883355e-05,0.0001217782174376209
-5.221945137157107,13.634355507739377,9.043482951073246e-07,-6.668908371926175e-06,3.413886449867746e-05,0.00013993450017181462
-5.192019950124688,13.478535581246385,1.0567493845720064e-06,-7.748342607409308e-06,3.943022039025238e-05,0.00016063090542649903
-5.162094763092269,13.323611171572315,1.233714659894297e-06,-8.994011418487782e-06,4.549691550404233e-05,0.0001841982903357373
-5.13216957605985,13.169582278717169,1.439015361907161e-06,-1.0430144034631858e-05,5.244561852500078e-05,0.00021100676782609347
