x_bohr,V_Hartree,psi_0,psi_1,psi_2,psi_3
-5.970074812967581,0.0,2.4574968427993092e-08,1.8089017261393762e-06,0.003855145114313466,0.008313366191575005
-5.940149625935161,0.0,4.933847502296565e-08,3.6251496361150773e-06,0.0077099429443084865,0.01662382346423749
-5.910224438902743,0.0,7.448050440911278e-08,5.456119747565995e-06,0.011564046236951148,0.024928463916930897
-5.880299251870324,0.0,1.0019394522222247e-07,7.309247866895078e-06,0.015417107801773767,0.0332243816839544
-5.850374064837905,0.0,1.2667606994351246e-07,9.19205978704074e-06,0.019268780542150983,0.04150867395175051
-5.820448877805486,0.0,1.5413004836615274e-07,1.1112201850695202e-05,0.02311871748656737,0.04977844197462473
-5.790523690773067,0.0,1.8276650630572735e-07,1.3077472003090994e-05,0.02696657181987377,0.05803079208904181
-5.760598503740648,0.0,2.1280514151299962e-07,1.5095851460464979e-05,0.030811996914529596,0.06626283672614365
-5.730673316708229,0.0,2.4447640918619857e-07,1.7175537122809602e-05,0.03465464636182817,0.07447169542213478
-5.7007481296758105,0.0,2.780232900140082e-07,1.9324974862543795e-05,0.038494174003102365,0.08265449582618152
-5.670822942643391,0.0,3.137031543136147e-07,2.1552893824293073e-05,0.04233023396090774,0.0908083747054725
-5.640897755610972,0.0,3.5178973656540333e-07,2.3868341875074724e-05,0.046162480670180375,0.09893047894708862
-5.610972568578553,0.0,3.925752354928559e-07,2.6280722348855823e-05,0.04999056890936644,0.10701796655633204
-5.581047381546134,0.0,4.363725557993765e-07,2.879983223470851e-05,0.05381415383152096,0.11506800765116468
-5.551122194513716,0.0,4.835177087605604e-07,3.1435901963649554e-05,0.057632890995372756,0.1230777854524086
-5.521197007481296,0.0,5.343723900891533e-07,3.4199636955743685e-05,0.06144643639635289,0.13104449726936135
-5.491271820448877,0.0,5.89326754849977e-07,3.710226109619896e-05,0.06525444649758373,0.13896535548048178
-5.461346633416459,0.0,6.488024107138567e-07,4.0155562317016e-05,0.06905657826082587,0.146837588508803
-5.431421446384039,0.0,7.13255652514673e-07,4.337194046930428e-05,0.07285248917738017,0.15465844179173127
