potential,SciPy_energy,energy_difference
Morse,-4.5,7.105427357601002e-15
Morse,-4.5,9.769962616701378e-15
Morse,-4.5,9.769962616701378e-15
MullerBrown,-1.4669951720995371,6.217248937900877e-15
MullerBrown,-1.0816672411685233,1.84297022087776e-14
MullerBrown,-0.8076781812965902,1.9551027463649007e-13
