molecule,electronic_eV,ZPE_eV,thermal_enthalpy_eV,H_eV,S_eV_K,G_eV,ASE_G_eV,G_error_eV,gradient_max_Hartree_A
H2,-30.408884272047526,0.3397636433355134,0.08992402692601592,-29.979196601785997,0.0013439527287433268,-30.37989610786082,-30.379895972188034,-1.3567278500659086e-07,1.3570143431772824e-06
CO,-3026.5986671127857,0.15263005369375096,0.08992613899785792,-3026.356110920094,0.0020507229686657813,-3026.9675339732016,-3026.9675337660046,-2.0719699023175053e-07,5.939067036133024e-07
CO2,-5035.967457559765,0.31629647377937786,0.09988327511566908,-5035.55127781087,0.002233460440942029,-5036.217184041337,-5036.2171838156455,-2.2569111024495214e-07,4.4009524012009225e-07
H2O,-2039.926092621224,0.663330929038803,0.10277794431533893,-2039.1599837478698,0.0019647794122151486,-2039.7457827296216,-2039.7457825312313,-1.9839035303448327e-07,1.1884144094185331e-05
