r_A,HF_Hartree,FCI_Hartree,"lda,vwn_Hartree",pbe_Hartree,b3lyp_Hartree
0.74,-1.1167593073964255,-1.1372838344885023,-1.1212061157024127,-1.1520727951590923,-1.1654184106731211
2.5,-0.7029435997235269,-0.9360549199556059,-0.8225405155022383,-0.8619408553806542,-0.8515256533494837
