r_A,own_E_eV,ASE_E_eV,own_radial_F_eV_A,ASE_radial_F_eV_A,FD_radial_F_eV_A
0.5,-3.186170834957152,-3.186170834957152,13.483213859764511,13.483213859764515,13.483213866694042
0.6,-4.130382201356818,-4.130382201356818,5.973479879129872,5.973479879129874,5.973479883802923
0.74,-4.5,-4.5,-0.0,0.0,2.6645352591003753e-09
0.9,-4.21821332676567,-4.218213326765671,-3.0394301820839456,-3.0394301820839464,-3.039430180784563
1.2,-3.073245551932212,-3.0732455519322124,-3.985543414250017,-3.9855434142500177,-3.9855434139868247
1.8,-1.2363209986479982,-1.2363209986479986,-2.047050726755948,-2.0470507267559483,-2.047050726772248
3.0,-0.1526865697839424,-0.1526865697839421,-0.2724640963368519,-0.27246409633685176,-0.2724640963597258
