column_0,column_1
-0.5582236827824901,1.441725795333846
-0.6613797210339798,1.338025254935683
-0.7631091601667317,1.2329196356362868
-0.858818967979816,1.1223091012065343
-0.9328368922458696,0.9961412613304386
-0.9463034873021183,0.8504917946679329
-0.8890642435443612,0.7158819452211614
-0.7938420133038857,0.6048455325194632
-0.6617961518083021,0.5419100627598133
-0.5193064012238094,0.5088414039907482
-0.373903557670749,0.4928770930669474
-0.227999930478191,0.48242201357021963
-0.08221292613378423,0.4704354202859978
0.06047570340143949,0.4382250634101199
0.177019979002914,0.3498235845632406
0.2513156521221704,0.22381836584036227
0.34697810853385,0.11315795710348592
0.4788648787869,0.049890484120367326
0.6234993458795731,0.028037736824834247
