x_model,y_model,E_eV
-0.5582236827824901,1.441725795333846,-1.466995172099531
-0.6613797210339798,1.338025254935683,-1.4253937492852287
-0.7631091601667317,1.2329196356362868,-1.3120485757360592
-0.858818967979816,1.1223091012065343,-1.1480316179817567
-0.9328368922458696,0.9961412613304386,-0.9488856489632054
-0.9463034873021183,0.8504917946679329,-0.6956007201862892
-0.8890642435443612,0.7158819452211614,-0.4627833291148986
-0.7938420133038857,0.6048455325194632,-0.41075135268139795
-0.6617961518083021,0.5419100627598133,-0.48952336969763444
-0.5193064012238094,0.5088414039907482,-0.600289120247495
-0.373903557670749,0.4928770930669474,-0.7009873317821006
-0.227999930478191,0.48242201357021963,-0.7735949065068825
-0.08221292613378423,0.4704354202859978,-0.80652052927629
0.06047570340143949,0.4382250634101199,-0.7927556792829897
0.177019979002914,0.3498235845632406,-0.7362800675123893
0.2513156521221704,0.22381836584036227,-0.7476296753716606
0.34697810853385,0.11315795710348592,-0.8948924053033396
0.4788648787869,0.049890484120367326,-1.0303280644194586
0.6234993458795731,0.028037736824834247,-1.0816672411685049
