# i j value; 1-based lower triangle; S dimensionless, T/V Hartree
1 1 1.0000000000000000e+00
2 1 2.4113665118392041e-01
2 2 1.0000000000000000e+00
3 1 0.0000000000000000e+00
3 2 0.0000000000000000e+00
3 3 9.9999999999999978e-01
4 1 0.0000000000000000e+00
4 2 0.0000000000000000e+00
4 3 0.0000000000000000e+00
4 4 9.9999999999999978e-01
5 1 0.0000000000000000e+00
5 2 0.0000000000000000e+00
5 3 0.0000000000000000e+00
5 4 0.0000000000000000e+00
5 5 9.9999999999999978e-01
6 1 6.6517250298298219e-02
6 2 3.9527059882033744e-01
6 3 0.0000000000000000e+00
6 4 0.0000000000000000e+00
6 5 5.1291008639291114e-01
6 6 1.0000000000000002e+00
