# i j value; 1-based lower triangle; S dimensionless, T/V Hartree
1 1 3.5767864244862975e+00
2 1 -2.0237380561294399e-02
2 2 1.0216336611653977e-01
3 1 0.0000000000000000e+00
3 2 0.0000000000000000e+00
3 3 3.1968166922508956e-01
4 1 0.0000000000000000e+00
4 2 0.0000000000000000e+00
4 3 0.0000000000000000e+00
4 4 3.1968166922508956e-01
5 1 0.0000000000000000e+00
5 2 0.0000000000000000e+00
5 3 0.0000000000000000e+00
5 4 0.0000000000000000e+00
5 5 3.1968166922508956e-01
6 1 -1.5700591935233009e-02
6 2 4.2154510306434752e-02
6 3 0.0000000000000000e+00
6 4 0.0000000000000000e+00
6 5 1.2863106646871866e-01
6 6 7.6003188356660911e-01
