# i j value; 1-based lower triangle; S dimensionless, T/V Hartree
1 1 -8.3136171318723573e+00
2 1 -1.0440916584743605e+00
2 2 -1.4980235926633860e+00
3 1 0.0000000000000000e+00
3 2 0.0000000000000000e+00
3 3 -1.4554815193554707e+00
4 1 0.0000000000000000e+00
4 2 0.0000000000000000e+00
4 3 0.0000000000000000e+00
4 4 -1.4554815193554707e+00
5 1 -1.6098891577825070e-02
5 2 -1.2216444778790329e-01
5 3 0.0000000000000000e+00
5 4 0.0000000000000000e+00
5 5 -1.5536414000575587e+00
6 1 -2.8648833593009659e-01
6 2 -7.3534530346366278e-01
6 3 0.0000000000000000e+00
6 4 0.0000000000000000e+00
6 5 -9.6692241049053695e-01
6 6 -2.2162292166041238e+00
