# i j k l (ij|kl)_Hartree; unique nonzero AO ERIs, 1-based
1 1 1 1 1.6803951695337487e+00
2 1 1 1 2.6542036460780699e-01
2 1 2 1 4.9941457240236346e-02
2 2 1 1 3.9772686108973021e-01
2 2 2 1 9.2860143641951082e-02
2 2 2 2 2.9056229500912606e-01
3 1 3 1 8.9813192841522432e-03
3 2 3 1 1.3788268908950862e-02
3 2 3 2 6.4184328586222250e-02
3 3 1 1 3.9663964228855070e-01
3 3 2 1 9.2880396830599093e-02
3 3 2 2 2.9049697558798082e-01
3 3 3 3 3.1294551115940900e-01
4 1 4 1 8.9813192841522432e-03
4 2 4 1 1.3788268908950862e-02
4 2 4 2 6.4184328586222250e-02
4 3 4 3 1.6869139513691025e-02
4 4 1 1 3.9663964228855070e-01
4 4 2 1 9.2880396830599093e-02
4 4 2 2 2.9049697558798082e-01
4 4 3 3 2.7920723213202703e-01
4 4 4 4 3.1294551115940900e-01
5 1 5 1 8.9813192841522432e-03
5 2 5 1 1.3788268908950862e-02
5 2 5 2 6.4184328586222250e-02
5 3 5 3 1.6869139513691022e-02
5 4 5 4 1.6869139513691022e-02
5 5 1 1 3.9663964228855070e-01
5 5 2 1 9.2880396830599093e-02
5 5 2 2 2.9049697558798082e-01
5 5 3 3 2.7920723213202703e-01
5 5 4 4 2.7920723213202703e-01
5 5 5 5 3.1294551115940900e-01
6 1 1 1 7.1225002033569906e-02
6 1 2 1 1.3467425158256129e-02
6 1 2 2 2.5472257457103398e-02
6 1 3 3 2.5172450959638680e-02
6 1 4 4 2.5172450959638680e-02
6 1 5 1 1.5908692768823792e-03
6 1 5 2 3.0750541187710822e-03
6 1 5 5 2.6083668907436262e-02
6 1 6 1 3.9693306753089425e-03
6 2 1 1 1.5064111363088398e-01
6 2 2 1 3.5511990728832314e-02
6 2 2 2 1.1550631933994943e-01
6 2 3 3 1.0977946267933462e-01
6 2 4 4 1.0977946267933462e-01
6 2 5 1 5.7959642103862776e-03
6 2 5 2 3.3661733567664533e-02
6 2 5 5 1.2683826314625982e-01
6 2 6 1 1.1407055972914359e-02
6 2 6 2 7.3805557665119731e-02
6 3 3 1 3.0114612927012031e-03
6 3 3 2 1.3568792509474273e-02
6 3 5 3 5.3302450189980973e-03
6 3 6 3 5.6105299780702172e-03
6 4 4 1 3.0114612927012031e-03
6 4 4 2 1.3568792509474273e-02
6 4 5 4 5.3302450189980973e-03
6 4 6 4 5.6105299780702172e-03
6 5 1 1 1.8186231339416981e-01
6 5 2 1 4.3361845493380832e-02
6 5 2 2 1.4655526768155777e-01
6 5 3 3 1.3675952759800947e-01
6 5 4 4 1.3675952759800947e-01
6 5 5 1 9.0208587782094393e-03
6 5 5 2 5.1495177117716145e-02
6 5 5 5 1.6596649675307601e-01
6 5 6 1 1.4551229400547353e-02
6 5 6 2 1.0297822420460680e-01
6 5 6 5 1.4606036975727252e-01
6 6 1 1 3.2949583254355980e-01
6 6 2 1 7.9091809896619084e-02
6 6 2 2 2.8097179711402787e-01
6 6 3 3 2.5660709861173708e-01
6 6 4 4 2.5660709861173708e-01
6 6 5 1 1.5236335532127214e-02
6 6 5 2 1.0571463874846641e-01
6 6 5 5 3.2930546032231089e-01
6 6 6 1 2.6682719399255116e-02
6 6 6 2 2.2204517151247027e-01
6 6 6 5 3.2246486398274593e-01
6 6 6 6 7.7460594391989779e-01
