r_A,RHF_Hartree,UHF_Hartree,UHF_S2,converged
0.74,-1.1167593073964255,-1.1167593073964253,0.0,True
1.5,-0.9108735545943865,-0.957706793405533,0.6948937737644093,True
2.0,-0.783792654277353,-0.9372128330856888,0.9458654417799218,True
3.0,-0.6560482511455911,-0.9332846583338112,0.9985907250091697,True
5.0,-0.5990248715061531,-0.9331637220050206,0.9999998646827213,True
