scenario,site,clean_eV,H2_eV,total_eV,force_max_eV_A,Hx_A,Hy_A,Hz_A
baseline,fcc,-9.357079982855794,-6.485204909265862,-12.554081054962252,0.045167236463648154,1.2766648181250455,0.7370808203183089,11.194583982585494
cutoff_eV-0,fcc,-9.684395505086954,-6.592309009364759,-12.927224393907512,0.02482551388360138,1.2763221862043155,0.7368827447860234,11.160829566241215
kpts-0,fcc,-9.056508446750515,-6.485204909265862,-12.281567054710056,0.03606059005955818,1.2568373564862756,0.7256344577790785,11.163298873106715
vacuum_A-0,fcc,-9.363429395367815,-6.485204909265862,-12.555269294268994,0.02068727355917662,1.276556965964914,0.7370186941988841,13.202191280850782
size-0,fcc,-12.84086467191526,-6.485204909265862,-16.385284033668217,0.01663748778552279,1.2765272798626768,0.7370014065862129,13.279813716295806
size-1,fcc,-35.70196963342423,-6.485204909265862,-39.033084532075286,0.0481693628045841,1.2768720897995343,0.7372015642856232,11.123463285376648
fixed_layers-0,fcc,-9.357302311063902,-6.485204909265862,-12.551278007813721,0.006667658044063515,1.2764085656105788,0.7369336056703185,11.278195183882533
smearing_eV-0,fcc,-9.341634540998836,-6.4852049092659225,-12.531167267173954,0.020825844117824014,1.2765260200036244,0.7369997722803836,11.165448313567016
