x_model,y_model
-9.952469417162528309e-01,0.000000000000000000e+00
-6.760975958815487186e-01,0.000000000000000000e+00
-6.760975958815487186e-01,0.000000000000000000e+00
-7.147114211566947262e-01,0.000000000000000000e+00
-7.147114211566947262e-01,0.000000000000000000e+00
-7.147114211566947262e-01,0.000000000000000000e+00
-7.117713382526703603e-01,0.000000000000000000e+00
-7.524238365099497061e-01,0.000000000000000000e+00
-7.898242910459521982e-01,0.000000000000000000e+00
-7.639627646022345564e-01,0.000000000000000000e+00
-9.266067666877145781e-01,0.000000000000000000e+00
-1.145657750360642879e+00,0.000000000000000000e+00
-1.076338749611426060e+00,0.000000000000000000e+00
-1.076338749611426060e+00,0.000000000000000000e+00
-1.076338749611426060e+00,0.000000000000000000e+00
-9.157184529753905622e-01,0.000000000000000000e+00
-9.157184529753905622e-01,0.000000000000000000e+00
-1.085911733387376232e+00,0.000000000000000000e+00
-9.342381854023131815e-01,0.000000000000000000e+00
-9.342381854023131815e-01,0.000000000000000000e+00
-9.342381854023131815e-01,0.000000000000000000e+00
-8.406739268967460266e-01,0.000000000000000000e+00
-8.406739268967460266e-01,0.000000000000000000e+00
-1.101889906061329860e+00,0.000000000000000000e+00
-1.047253789386858980e+00,0.000000000000000000e+00
-1.047253789386858980e+00,0.000000000000000000e+00
-9.878074884068639427e-01,0.000000000000000000e+00
-8.401665726430787018e-01,0.000000000000000000e+00
-9.249147478985024762e-01,0.000000000000000000e+00
-9.769284027782185742e-01,0.000000000000000000e+00
-1.003922178659303110e+00,0.000000000000000000e+00
-1.003922178659303110e+00,0.000000000000000000e+00
-1.014937692039618478e+00,0.000000000000000000e+00
-1.095194499828703760e+00,0.000000000000000000e+00
-1.113733013187342635e+00,0.000000000000000000e+00
-1.113733013187342635e+00,0.000000000000000000e+00
-8.854997071906829387e-01,0.000000000000000000e+00
-9.249663537718391115e-01,0.000000000000000000e+00
-1.042663506897594461e+00,0.000000000000000000e+00
-1.042663506897594461e+00,0.000000000000000000e+00
-1.042663506897594461e+00,0.000000000000000000e+00
-1.072414786786185736e+00,0.000000000000000000e+00
-1.065880536392140421e+00,0.000000000000000000e+00
-9.161764302881691968e-01,0.000000000000000000e+00
-9.322977608471482158e-01,0.000000000000000000e+00
-7.921015535970812316e-01,0.000000000000000000e+00
-7.921015535970812316e-01,0.000000000000000000e+00
-8.090443660422115268e-01,0.000000000000000000e+00
-9.027824290855099854e-01,0.000000000000000000e+00
-9.027824290855099854e-01,0.000000000000000000e+00
-9.246209881081026705e-01,0.000000000000000000e+00
-9.762373513400058878e-01,0.000000000000000000e+00
-9.762373513400058878e-01,0.000000000000000000e+00
-8.619233330936718618e-01,0.000000000000000000e+00
-8.167591917928076484e-01,0.000000000000000000e+00
-8.762656085589051180e-01,0.000000000000000000e+00
-8.824216644152000910e-01,0.000000000000000000e+00
-8.824216644152000910e-01,0.000000000000000000e+00
-1.107256595306481683e+00,0.000000000000000000e+00
-9.817883746519228128e-01,0.000000000000000000e+00
-9.941697517748497859e-01,0.000000000000000000e+00
-1.018356773774799384e+00,0.000000000000000000e+00
-1.216725720091755392e+00,0.000000000000000000e+00
-1.216725720091755392e+00,0.000000000000000000e+00
-1.169223674813537839e+00,0.000000000000000000e+00
-1.169223674813537839e+00,0.000000000000000000e+00
-1.179450725511628661e+00,0.000000000000000000e+00
-1.179450725511628661e+00,0.000000000000000000e+00
-1.212273666156972629e+00,0.000000000000000000e+00
-1.208953338647241305e+00,0.000000000000000000e+00
-1.213324679268399597e+00,0.000000000000000000e+00
-7.873984029409955010e-01,0.000000000000000000e+00
-8.353980873826942766e-01,0.000000000000000000e+00
-8.353980873826942766e-01,0.000000000000000000e+00
-8.353980873826942766e-01,0.000000000000000000e+00
-8.353980873826942766e-01,0.000000000000000000e+00
-8.818961874475765850e-01,0.000000000000000000e+00
-8.818961874475765850e-01,0.000000000000000000e+00
-9.145865852227501591e-01,0.000000000000000000e+00
-8.764793161228657814e-01,0.000000000000000000e+00
-1.084557000872766963e+00,0.000000000000000000e+00
-1.224762001157710944e+00,0.000000000000000000e+00
-1.224762001157710944e+00,0.000000000000000000e+00
-1.224762001157710944e+00,0.000000000000000000e+00
-1.185128533108864346e+00,0.000000000000000000e+00
-1.169847752867095636e+00,0.000000000000000000e+00
-1.169847752867095636e+00,0.000000000000000000e+00
-1.169847752867095636e+00,0.000000000000000000e+00
-1.201154641408177071e+00,0.000000000000000000e+00
-8.106097099950522189e-01,0.000000000000000000e+00
-1.025165263930820192e+00,0.000000000000000000e+00
-1.081915012565279222e+00,0.000000000000000000e+00
-8.333815457316267050e-01,0.000000000000000000e+00
-8.333815457316267050e-01,0.000000000000000000e+00
-9.382873411394803131e-01,0.000000000000000000e+00
-9.382873411394803131e-01,0.000000000000000000e+00
-9.382873411394803131e-01,0.000000000000000000e+00
-9.495154376751244740e-01,0.000000000000000000e+00
-9.449357834009800561e-01,0.000000000000000000e+00
-9.449357834009800561e-01,0.000000000000000000e+00
-9.449357834009800561e-01,0.000000000000000000e+00
-9.449357834009800561e-01,0.000000000000000000e+00
-9.648967744749771258e-01,0.000000000000000000e+00
-9.590255418321400604e-01,0.000000000000000000e+00
-9.590255418321400604e-01,0.000000000000000000e+00
-9.384036569125816518e-01,0.000000000000000000e+00
-9.384036569125816518e-01,0.000000000000000000e+00
-9.366564006313894408e-01,0.000000000000000000e+00
-9.366564006313894408e-01,0.000000000000000000e+00
-1.168502289841951702e+00,0.000000000000000000e+00
-1.168502289841951702e+00,0.000000000000000000e+00
-1.119589824997487160e+00,0.000000000000000000e+00
-1.119589824997487160e+00,0.000000000000000000e+00
-1.119589824997487160e+00,0.000000000000000000e+00
-1.050258775127742572e+00,0.000000000000000000e+00
-9.641049845055440493e-01,0.000000000000000000e+00
-1.021819652899023101e+00,0.000000000000000000e+00
-1.021819652899023101e+00,0.000000000000000000e+00
-1.021819652899023101e+00,0.000000000000000000e+00
-1.021819652899023101e+00,0.000000000000000000e+00
-1.021819652899023101e+00,0.000000000000000000e+00
-1.021819652899023101e+00,0.000000000000000000e+00
