x_model,own_WHAM_eV,PyMBAR_FES_eV,analytic_eV,samples
-1.7850000000000001,nan,nan,0.7169218875000002,0
-1.755,nan,nan,0.6489605249999998,0
-1.725,nan,nan,0.5854490460000003,0
-1.6949999999999998,0.37401336482823566,0.375542280999917,0.5262183224999996,5
-1.665,nan,nan,0.47110214250000004,0
-1.635,nan,nan,0.41993721,0
-1.605,0.36084289718679075,0.36093856545327085,0.37256314500000004,11
-1.5750000000000002,0.40735298099264106,0.40744886650899276,0.3288224835000003,5
-1.545,0.33721110964246903,0.3378858565449327,0.2885606775,21
-1.5150000000000001,0.24616465571303187,0.24624862087941868,0.2516260950000001,128
-1.4849999999999999,0.23230151876836724,0.23234392976173754,0.2178700199999998,170
-1.455,0.19681077275829822,0.19685117276596836,0.18714665250000012,333
-1.425,0.1719836757075388,0.17182151410922647,0.15931310850000002,516
-1.395,0.13945949989715395,0.1393290615700895,0.13422942000000002,904
-1.365,0.11972032389529663,0.11959985212738268,0.11175853499999996,1208
-1.335,0.0979814814343467,0.09783070801705523,0.09176631749999999,1644
-1.3050000000000002,0.07727627678426818,0.07720048084625655,0.07412154750000009,2157
-1.275,0.0655335771323067,0.06548133921648479,0.05869592099999998,2351
-1.245,0.050320648724447525,0.050301528352038216,0.04536405000000004,2721
-1.2149999999999999,0.04193694884362001,0.041930472080899374,0.034003462499999956,2755
-1.185,0.03174217154484418,0.031791037121315195,0.024494602500000004,2900
-1.155,0.02241705153441495,0.022454114495005697,0.01672083,3029
-1.125,0.01733872347620366,0.01736083616971397,0.010568421000000001,2954
-1.095,0.012904119798990199,0.012974411447005686,0.005926567500000001,2894
-1.065,0.010222374692126668,0.010256888188648217,0.002687377499999993,2794
-1.035,0.006038639733732393,0.006126387812924827,0.0007458749999999981,2834
-1.005,0.006111122757740561,0.006182256820053038,0.0,2702
-0.975,0.005568210192129636,0.0056275060674158325,0.00035060850000000166,2659
-0.945,0.010565351786133104,0.010619994687261613,0.0017014725000000022,2395
-0.915,0.009745998052398619,0.009786436492039316,0.003959279999999996,2456
-0.885,0.01086945621966301,0.010901493987166869,0.007033634999999996,2464
-0.855,0.01618145269026891,0.0161884533048886,0.010837057500000006,2312
-0.825,0.02205451203902445,0.022073905984476873,0.015284983500000007,2173
-0.7949999999999999,0.02591464185524442,0.02596299659677995,0.020295765000000018,2147
-0.765,0.03352518574313465,0.0335194695392597,0.025790669999999998,1992
-0.735,0.03740600783408793,0.03745337540138268,0.031693882500000006,2003
-0.705,0.04252886788823526,0.04255991760717965,0.037932502500000014,1980
-0.6749999999999999,0.05060433339340642,0.0505250509024187,0.044436546000000014,1859
-0.6449999999999999,0.05747794628273603,0.05747974697560514,0.051138945000000026,1794
-0.6149999999999999,0.06266255830738834,0.06257731369106945,0.05797554750000004,1794
-0.5849999999999999,0.06817127910199261,0.06819211869576913,0.06488511750000005,1786
-0.5549999999999999,0.07799955086533639,0.0778987790297632,0.071809335,1637
-0.525,0.08556037046825954,0.08549188156930472,0.07869279600000001,1568
-0.495,0.09364946901269433,0.09360047380488361,0.08548301249999998,1486
-0.46499999999999997,0.09639055387220308,0.09639378832049054,0.09213041250000001,1560
-0.43499999999999994,0.10062135734037841,0.10066357742838544,0.09858834000000001,1588
-0.4049999999999999,0.11165062953980298,0.11158523721253967,0.10481305500000004,1413
-0.3749999999999999,0.11705025010106529,0.11695475951355706,0.11076373350000003,1396
-0.34499999999999986,0.12199542994894369,0.12191539915381143,0.11640246750000001,1384
-0.31499999999999984,0.12492102702354485,0.12488843467395215,0.12169426500000002,1418
-0.2849999999999999,0.13080424887051123,0.1307306966073425,0.12660704999999997,1363
-0.255,0.13706100182584002,0.1369906124241806,0.13111166249999998,1292
-0.22499999999999998,0.1423381752214405,0.1423419697959768,0.13518185849999997,1240
-0.19499999999999995,0.14031497647814145,0.14031088844852285,0.13879431,1362
-0.16499999999999992,0.14347439965971365,0.14344587856050492,0.141928605,1345
-0.1349999999999999,0.15091017490263492,0.15092130776681814,0.1445672475,1215
-0.10499999999999987,0.15159340244602415,0.1515811190827192,0.1466956575,1242
-0.07499999999999984,0.15487192957754736,0.1548517063495006,0.14830217099999998,1198
-0.04499999999999982,0.15652393124379332,0.15651792732800685,0.14937804,1182
-0.014999999999999902,0.15517502900622532,0.1551828826710704,0.14991743249999998,1224
0.015000000000000013,0.15348364706715167,0.15348845354826876,0.14991743249999998,1263
0.04500000000000004,0.1553172841326219,0.15533093179329513,0.14937803999999996,1205
0.07500000000000007,0.15530044201443483,0.15530629368787927,0.14830217099999998,1180
0.1050000000000001,0.15321511641969954,0.15325152066763587,0.14669565749999997,1192
0.13500000000000012,0.15305233443852134,0.1530686568300846,0.14456724749999997,1151
0.16500000000000015,0.14343787784432172,0.14345582303711576,0.14192860499999999,1325
0.19500000000000017,0.1419567149612757,0.14192622137528335,0.13879430999999998,1295
0.2250000000000001,0.13973996804363692,0.13972859640409685,0.13518185849999997,1276
0.2550000000000001,0.1372571322944972,0.13729291378038977,0.13111166249999995,1256
0.28500000000000014,0.12978049707492068,0.12978492689515558,0.12660704999999994,1353
0.31500000000000017,0.1256957584587564,0.12566994353602634,0.12169426499999997,1356
0.3450000000000002,0.11918715418654408,0.11920197244870581,0.11640246749999995,1415
0.3750000000000002,0.1129485955584067,0.11289571794042809,0.11076373349999995,1460
0.40500000000000025,0.10624822824784863,0.10618522177884238,0.10481305499999996,1512
0.43500000000000005,0.10100579658953285,0.10092914336105897,0.09858833999999997,1516
0.4650000000000001,0.09031186579217404,0.09037145832948759,0.09213041249999997,1684
0.4950000000000001,0.08930802640885821,0.08940697604509519,0.08548301249999998,1548
0.5250000000000001,0.08209431482271867,0.0821311136188695,0.07869279599999997,1603
0.5550000000000002,0.07387880505806588,0.07390765953445276,0.07180933499999995,1692
0.5850000000000002,0.06863077167044379,0.0685419295297832,0.06488511749999995,1687
0.6150000000000002,0.0610681718753161,0.061047041336529474,0.05797554749999995,1761
0.6450000000000002,0.05387139799298915,0.05386695554208008,0.05113894499999994,1829
0.6750000000000003,0.04647543664102194,0.046486765377090206,0.04443654599999994,1913
0.7050000000000001,0.042449396814746826,0.04241949492349271,0.03793250249999999,1883
0.7350000000000001,0.037091427045217146,0.03705663995761588,0.03169388249999998,1913
0.7650000000000001,0.02778363945919507,0.027749060850891866,0.02579066999999997,2113
0.7950000000000002,0.025475364151881785,0.025498172353313683,0.020295764999999966,2056
0.8250000000000002,0.017513976855331043,0.017532390964056545,0.015284983499999976,2254
0.8550000000000002,0.011692346978095541,0.011691174128627923,0.010837057499999971,2398
0.8850000000000002,0.012871212938355359,0.012883929478126572,0.007033634999999976,2257
0.9150000000000003,0.0038338889820944133,0.0038386149002697214,0.00395927999999998,2626
0.9450000000000003,0.003611166655291348,0.003617030053664074,0.0017014724999999844,2618
0.9750000000000001,0.0,0.0,0.0003506084999999984,2836
1.0050000000000001,0.006629613290602465,0.0066511818543104955,1.3349239248727773e-18,2568
1.0350000000000001,0.003637292824402949,0.0036739357763157857,0.0007458750000000075,2857
1.0650000000000002,0.008733658663009958,0.008716065736715458,0.002687377500000011,2774
1.0950000000000002,0.014493601115110138,0.014407207070475997,0.005926567500000028,2713
1.1250000000000002,0.017351661630419957,0.01727788293239109,0.010568421000000036,2860
1.1550000000000002,0.020756958979212065,0.020648066367324587,0.016720830000000065,3033
1.1850000000000003,0.03067743734125189,0.030685234006763956,0.024494602500000087,2873
1.2150000000000003,0.038821840130771584,0.03873267746500826,0.034003462500000116,2841
1.245,0.05167280509666192,0.05154734291772467,0.04536405000000004,2574
1.2750000000000001,0.06784301793205821,0.06763439419454327,0.05869592100000006,2183
1.3050000000000002,0.08011634199979878,0.07996572349722035,0.07412154750000009,1982
1.3350000000000002,0.09370738602659712,0.09344374807168407,0.0917663175000001,1733
1.3650000000000002,0.11229730487427803,0.1120850474348186,0.11175853500000016,1353
1.3950000000000002,0.13429475335003394,0.13414304058175605,0.13422942000000015,969
1.4250000000000003,0.16672398941830657,0.1664703947832552,0.15931310850000013,554
1.4550000000000003,0.1936860566660351,0.19350869596703202,0.18714665250000023,343
1.4850000000000003,0.2159771632935531,0.21590072152697454,0.2178700200000003,226
1.5150000000000001,0.26392957703937536,0.26397548839228263,0.2516260950000001,88
1.5450000000000002,0.28972115731888076,0.2897283725953052,0.2885606775000002,51
1.5750000000000002,0.32252222397856567,0.32282425308865803,0.3288224835000003,25
1.6050000000000002,0.3592237970730928,0.35899999081418027,0.3725631450000002,11
1.6350000000000002,nan,nan,0.4199372100000004,0
1.6650000000000003,nan,nan,0.47110214250000054,0
1.6950000000000003,nan,nan,0.5262183225000006,0
1.7250000000000003,nan,nan,0.5854490460000005,0
1.7550000000000003,nan,nan,0.6489605250000009,0
1.7850000000000001,nan,nan,0.7169218875000002,0
