window,center,acceptance,mean_y
0,-1.5,0.600625,0.0
1,-1.25,0.622625,0.0
2,-1.0,0.640875,0.0
3,-0.75,0.6735625,0.0
4,-0.5,0.7040625,0.0
5,-0.25,0.7349375,0.0
6,0.0,0.7476875,0.0
7,0.25,0.7328125,0.0
8,0.5,0.698625,0.0
9,0.75,0.6715625,0.0
10,1.0,0.6469375,0.0
11,1.25,0.62325,0.0
12,1.5,0.600625,0.0
