# i j k l (ij|kl)_Hartree; unique nonzero AO ERIs, 1-based
1 1 1 1 4.7850654047055032e+00
2 1 1 1 7.4138035197340790e-01
2 1 2 1 1.3687338535438834e-01
2 2 1 1 1.1189468663424704e+00
2 2 2 1 2.5663339473097369e-01
2 2 2 2 8.1720632152605821e-01
3 1 3 1 2.4477412258099275e-02
3 2 3 1 3.7808607416360988e-02
3 2 3 2 1.8051839210463208e-01
3 3 1 1 1.1158138121524277e+00
3 3 2 1 2.5668398581010293e-01
3 3 2 2 8.1702260532091420e-01
3 3 3 3 8.8015909337504539e-01
4 1 4 1 2.4477412258099275e-02
4 2 4 1 3.7808607416360988e-02
4 2 4 2 1.8051839210463208e-01
4 3 4 3 4.7444445118384151e-02
4 4 1 1 1.1158138121524277e+00
4 4 2 1 2.5668398581010293e-01
4 4 2 2 8.1702260532091420e-01
4 4 3 3 7.8527020313827745e-01
4 4 4 4 8.8015909337504539e-01
5 1 5 1 2.4477412258099275e-02
5 2 5 1 3.7808607416360988e-02
5 2 5 2 1.8051839210463208e-01
5 3 5 3 4.7444445118384151e-02
5 4 5 4 4.7444445118384151e-02
5 5 1 1 1.1158138121524277e+00
5 5 2 1 2.5668398581010293e-01
5 5 2 2 8.1702260532091420e-01
5 5 3 3 7.8527020313827745e-01
5 5 4 4 7.8527020313827745e-01
5 5 5 5 8.8015909337504517e-01
6 1 1 1 1.2178798090871593e-01
6 1 2 1 2.2309716912929857e-02
6 1 2 2 4.1612515004788291e-02
6 1 3 1 8.0749231589955102e-04
6 1 3 2 1.5193138591220270e-03
6 1 3 3 4.1686873611910188e-02
6 1 4 4 4.1530876775780962e-02
6 1 5 1 6.3069909689189726e-04
6 1 5 2 1.1866736809453503e-03
6 1 5 3 1.2184272435471928e-04
6 1 5 5 4.1626043125602821e-02
6 1 6 1 3.6832668440379352e-03
6 2 1 1 3.1333926493574521e-01
6 2 2 1 7.2841295592665112e-02
6 2 2 2 2.5888851273356422e-01
6 2 3 1 4.3177089258383764e-03
6 2 3 2 3.3778781925496375e-02
6 2 3 3 2.6264131496460985e-01
6 2 4 4 2.5435898676900764e-01
6 2 5 1 3.3723851813186804e-03
6 2 5 2 2.6383219796693516e-02
6 2 5 3 6.4689865281372643e-03
6 2 5 5 2.5941164656621823e-01
6 2 6 1 1.2122074859270103e-02
6 2 6 2 1.0381956538469127e-01
6 3 1 1 1.8356124708669505e-01
6 3 2 1 4.3203071483222374e-02
6 3 2 2 1.6393057035501390e-01
6 3 3 1 9.6453921207293371e-03
6 3 3 2 6.4017540506096302e-02
6 3 3 3 1.7538806679625296e-01
6 3 4 4 1.5659175021642627e-01
6 3 5 1 1.7448227771560676e-03
6 3 5 2 1.5708841320098206e-02
6 3 5 3 9.2820663073281962e-03
6 3 5 5 1.5962468130524426e-01
6 3 6 1 7.4887287132744231e-03
6 3 6 2 7.9887090371522806e-02
6 3 6 3 7.5118445403192763e-02
6 4 4 1 7.4114726619838129e-03
6 4 4 2 4.3905305178385291e-02
6 4 4 3 6.9123654916228771e-03
6 4 5 4 5.3989649029621088e-03
6 4 6 4 1.4357132382445599e-02
6 5 1 1 1.4337215411512427e-01
6 5 2 1 3.3744145462325389e-02
6 5 2 2 1.2803943844431878e-01
6 5 3 1 1.7448227771560676e-03
6 5 3 2 1.5708841320098206e-02
6 5 3 3 1.2619048872878905e-01
6 5 4 4 1.2230738732442292e-01
6 5 5 1 8.7742821006876678e-03
6 5 5 2 5.6174836217534545e-02
6 5 5 3 9.9452965804408267e-03
6 5 5 5 1.3547421508886440e-01
6 5 6 1 5.8491385531873486e-03
6 5 6 2 6.2396526578103684e-02
6 5 6 3 4.7458167085416891e-02
6 5 6 5 5.1424758329539598e-02
6 6 1 1 4.7072681123533355e-01
6 6 2 1 1.1119262183608607e-01
6 6 2 2 4.5466354796541392e-01
6 6 3 1 8.1164225280903179e-03
6 6 3 2 8.8860797554796769e-02
6 6 3 3 4.6977239776726792e-01
6 6 4 4 4.3675292327524701e-01
6 6 5 1 6.3394044223900724e-03
6 6 5 2 6.9405520849409277e-02
6 6 5 3 2.5790155933265068e-02
6 6 5 5 4.5689655527710860e-01
6 6 6 1 1.8641624778464750e-02
6 6 6 2 2.3542502408263269e-01
6 6 6 3 2.0671575856130575e-01
6 6 6 5 1.6145719243495230e-01
