# i j value; 1-based lower triangle; S dimensionless, T/V Hartree
1 1 -6.1580603232633763e+01
2 1 -7.4108237412523232e+00
2 2 -1.0009078752685348e+01
3 1 0.0000000000000000e+00
3 2 0.0000000000000000e+00
3 3 -9.9875836414121899e+00
4 1 0.0000000000000000e+00
4 2 0.0000000000000000e+00
4 3 0.0000000000000000e+00
4 4 -9.8758823531646733e+00
5 1 -1.4471464677295903e-02
5 2 -1.7686097336716736e-01
5 3 0.0000000000000000e+00
5 4 0.0000000000000000e+00
5 5 -9.9440260677212269e+00
6 1 -1.2317126803322376e+00
6 2 -2.9772663412659148e+00
6 3 -1.8224657908747750e+00
6 4 0.0000000000000000e+00
6 5 -1.4715357302492202e+00
6 6 -5.3002002986448540e+00
7 1 -1.2317126803322376e+00
7 2 -2.9772663412659148e+00
7 3 1.8224657908747750e+00
7 4 0.0000000000000000e+00
7 5 -1.4715357302492202e+00
7 6 -1.0669165845416149e+00
7 7 -5.3002002986448540e+00
