# i j value; 1-based lower triangle; S dimensionless, T/V Hartree
1 1 1.0000000000000000e+00
2 1 2.3670393651084762e-01
2 2 1.0000000000000000e+00
3 1 0.0000000000000000e+00
3 2 0.0000000000000000e+00
3 3 1.0000000000000000e+00
4 1 0.0000000000000000e+00
4 2 0.0000000000000000e+00
4 3 0.0000000000000000e+00
4 4 1.0000000000000000e+00
5 1 0.0000000000000000e+00
5 2 0.0000000000000000e+00
5 3 0.0000000000000000e+00
5 4 0.0000000000000000e+00
5 5 1.0000000000000000e+00
6 1 3.8406422778838836e-02
6 2 3.8614409029213270e-01
6 3 2.6847048264526124e-01
6 4 0.0000000000000000e+00
6 5 2.0969127211801411e-01
6 6 1.0000000000000002e+00
7 1 3.8406422778838836e-02
7 2 3.8614409029213270e-01
7 3 -2.6847048264526124e-01
7 4 0.0000000000000000e+00
7 5 2.0969127211801411e-01
7 6 1.8171091900296149e-01
7 7 1.0000000000000002e+00
