# i j value; 1-based lower triangle; S dimensionless, T/V Hartree
1 1 2.9003199945539567e+01
2 1 -1.6801093931649186e-01
2 2 8.0812795493034717e-01
3 1 0.0000000000000000e+00
3 2 0.0000000000000000e+00
3 3 2.5287311981947633e+00
4 1 0.0000000000000000e+00
4 2 0.0000000000000000e+00
4 3 0.0000000000000000e+00
4 4 2.5287311981947633e+00
5 1 0.0000000000000000e+00
5 2 0.0000000000000000e+00
5 3 0.0000000000000000e+00
5 4 0.0000000000000000e+00
5 5 2.5287311981947633e+00
6 1 -8.4162378933582815e-03
6 2 7.0520411156667490e-02
6 3 1.4711131091279950e-01
6 4 0.0000000000000000e+00
6 5 1.1490260539745825e-01
6 6 7.6003188356660911e-01
7 1 -8.4162378933582815e-03
7 2 7.0520411156667490e-02
7 3 -1.4711131091279950e-01
7 4 0.0000000000000000e+00
7 5 1.1490260539745825e-01
7 6 -3.9864539882468620e-03
7 7 7.6003188356660911e-01
