T_K,ZPE_eV,U_eV,F_eV,S_eV_K
50.0,0.06,0.06000000000009632,0.05999999999999654,1.9954871088856406e-15
100.0,0.06,0.06000010750974029,0.059999992279609615,1.1523013067338272e-09
300.0,0.06,0.06116809185209551,0.05974957096339405,4.72840296233822e-06
600.0,0.06,0.0730649595418025,0.05465661480842002,3.068057455563748e-05
1000.0,0.06,0.09966851026514244,0.03538819712733407,6.428031313780837e-05
1500.0,0.06,0.1384129400021708,-0.004999511370468682,9.560830091509298e-05
5000.0,0.06,0.4336481535848572,-0.5493881995450578,0.000196607270625983
